77.13	1.72
86.63	1.84
77.00	1.68
92.38	1.84
92.13	1.81
105.13	1.90
90.50	1.77
88.00	1.84
95.50	1.88
99.13	1.87
93.13	1.89
108.00	1.93
90.25	1.77
102.63	1.81
93.88	1.77
81.38	1.68
97.88	1.80
104.63	1.80
91.88	1.72
105.88	1.87
89.50	1.73
100.25	1.77
70.13	1.73
74.38	1.78
75.63	1.72
79.63	1.82
65.75	1.71
74.00	1.71
66.63	1.64
80.38	1.75
91.00	1.87
80.13	1.81
84.00	1.81
109.25	1.80
123.63	1.87
95.88	1.65
101.13	1.78
98.38	1.73
181.58	1.84
101.50	1.70
131.38	1.75
108.50	1.78
106.00	1.82
62.63	1.73
82.13	1.86
66.75	1.71
74.25	1.81
67.88	1.74
63.75	1.70
79.13	1.84
69.63	1.75
68.63	1.72
76.38	1.87
68.13	1.71
99.00	1.83
90.75	1.73
100.63	1.77
101.25	1.80
89.88	1.67
108.00	1.86
89.38	1.74
96.63	1.78
89.00	1.70
102.75	1.78
91.75	1.71
75.75	1.80
77.38	1.82
77.63	1.76
78.38	1.82
83.75	1.82
73.38	1.75
80.38	1.87
62.50	1.63
71.50	1.67
74.13	1.71
81.25	1.77
88.88	1.74
80.63	1.78
85.63	1.76
81.88	1.72
75.13	1.71
95.13	1.85
85.38	1.78
84.00	1.76
83.50	1.71
78.88	1.71
80.00	1.67
88.38	1.84
88.00	1.85
88.50	1.78
89.88	1.77
82.63	1.79
96.25	1.82
92.13	1.89
112.25	1.97
94.38	1.86
81.25	1.69
78.25	1.73
98.50	1.83
99.25	1.87
86.88	1.83
86.38	1.81
98.38	1.87
88.50	1.76
82.75	1.74
100.13	1.87
101.63	1.89
97.00	1.92
84.25	1.76
85.38	1.74
91.63	1.78
89.13	1.78
81.50	1.78
87.63	1.82
79.00	1.76
88.63	1.85
89.50	1.83
95.50	1.88
93.75	1.84
103.25	1.89
92.63	1.82
80.13	1.75
75.75	1.70
80.50	1.69
83.50	1.70
88.75	1.75
76.13	1.72
96.13	1.86
82.63	1.77
85.88	1.82
85.63	1.79
98.50	1.86
78.50	1.70
84.13	1.77
93.00	1.77
83.38	1.80
93.88	1.88
84.13	1.81
106.38	1.90
88.38	1.80
86.63	1.77
83.50	1.72
79.88	1.84
94.08	1.97
78.00	1.80
104.25	1.85
103.25	1.77
71.88	1.84
111.50	1.78
76.13	1.75
120.88	1.89
73.00	1.84
78.38	1.71
100.13	1.87
85.75	1.91
102.88	1.75
91.25	1.84
68.25	1.75
88.63	1.82
75.63	1.84
98.00	1.85
92.13	1.75
70.00	1.79
109.38	1.83
108.50	1.87
83.13	1.73
112.38	1.84
114.13	1.77
86.38	1.77
76.13	1.72
62.88	1.66
88.63	1.80
88.13	1.82
113.38	1.82
72.63	1.76
75.50	1.70
120.63	1.82
93.63	1.76
117.38	1.89
109.63	1.89
59.25	1.73
72.88	1.71
79.63	1.77
85.25	1.89
83.75	1.82
116.38	1.89
105.25	1.83
101.13	1.84
92.50	1.73
76.50	1.76
122.13	1.93
96.75	1.79
112.38	1.90
81.38	1.85
90.00	1.73
78.13	1.75
84.00	1.82
83.63	1.85
85.38	1.71
89.13	1.78
75.00	1.76
100.25	1.82
92.00	1.88
111.50	1.77
104.38	1.85
83.00	1.66
97.50	1.84
80.25	1.78
79.88	1.80
70.25	1.73
108.13	1.89
84.13	1.82
97.38	1.80
86.38	1.85
74.63	1.77
77.25	1.78
99.63	1.82
77.25	1.76
76.63	1.79
115.00	1.84
80.88	1.71
71.13	1.71
89.88	1.75
63.25	1.70
84.75	1.73
99.25	1.89
87.25	1.77
83.88	1.74
73.88	1.67
91.13	1.82
87.75	1.82
80.88	1.71
78.88	1.71
84.38	1.71
95.75	1.84
109.58	1.77
77.63	1.77
94.88	1.67
63.75	1.67
112.25	1.73
117.13	1.83
113.88	1.85
99.75	1.74
77.75	1.76
107.75	1.79
67.13	1.70
100.50	1.77
93.38	1.68
95.38	1.79
103.75	1.78
